NumRep	MapSeed	InitStratSeed	BikeProfit	TransportCosts	TotalProfit	FinalHeuristic	TotalDistance	ExecutionTime
0	190533092	355752312	28.000000	-12.600000	15.400000	-28.000000	8.500000	2.434896
0	190533092	958257158	37.000000	-34.000000	3.000000	-37.000000	18.600000	5.956942
0	190533092	2022999748	47.000000	-62.400000	-15.400000	-47.000000	32.800000	7.326026
0	190533092	817997656	-6.000000	-4.200000	-10.200000	6.000000	10.000000	0.014834
0	190533092	1137482971	19.000000	-25.900000	-6.900000	-19.000000	16.300000	2.520923
0	190533092	586552801	60.000000	-64.400000	-4.400000	-60.000000	32.800000	12.005272
0	190533092	1141689932	34.000000	-35.600000	-1.600000	-34.000000	19.900000	5.089897
0	190533092	825993253	34.000000	-35.600000	-1.600000	-34.000000	20.000000	5.651461
0	190533092	1864505289	-5.000000	-4.700000	-9.700000	5.000000	8.900000	0.014731
0	190533092	1011425045	23.000000	-27.400000	-4.400000	-23.000000	16.600000	2.709674
0	190533092	308261183	10.000000	-1.900000	8.100000	-10.000000	6.700000	0.018579
0	190533092	621137870	28.000000	-34.500000	-6.500000	-28.000000	19.200000	6.078136
0	190533092	327272797	47.000000	-55.300000	-8.300000	-47.000000	29.000000	8.231201
0	898880149	711059970	22.000000	-4.700000	17.300000	-22.000000	4.300000	0.013964
0	898880149	352204295	9.000000	-4.900000	4.100000	-9.000000	5.400000	0.013341
0	898880149	205097415	13.000000	-2.900000	10.100000	-13.000000	4.700000	0.024217
0	898880149	1743818309	57.000000	-36.300000	20.700000	-57.000000	15.500000	5.882520
0	898880149	1496673032	31.000000	-9.500000	21.500000	-31.000000	7.200000	3.038510
0	898880149	413158652	11.000000	-4.900000	6.100000	-11.000000	6.700000	0.048609
0	898880149	996444792	29.000000	-23.300000	5.700000	-29.000000	12.300000	4.006595
0	898880149	2095413113	15.000000	-4.700000	10.300000	-15.000000	6.100000	0.027727
0	898880149	1823965476	27.000000	-4.400000	22.600000	-27.000000	6.200000	0.087320
0	898880149	847735949	37.000000	-15.700000	21.300000	-37.000000	6.800000	5.125501
0	898880149	754014793	36.000000	-14.600000	21.400000	-36.000000	8.200000	5.964768
0	898880149	1612417576	31.000000	-16.600000	14.400000	-31.000000	8.000000	5.804683
0	898880149	372833792	23.000000	-3.900000	19.100000	-23.000000	4.600000	0.021256
0	898880149	1470015358	29.000000	-21.100000	7.900000	-29.000000	12.200000	5.020739
0	898880149	2139780545	13.000000	-5.500000	7.500000	-13.000000	4.500000	0.019529
0	898880149	877621903	31.000000	-14.800000	16.200000	-31.000000	7.800000	2.961243
0	898880149	1639541230	5.000000	-3.400000	1.600000	-5.000000	7.000000	0.010507
0	898880149	2120148747	26.000000	-18.300000	7.700000	-26.000000	9.700000	5.132919
0	898880149	707419148	0.000000	-1.500000	-1.500000	-0.000000	2.500000	0.011765
0	898880149	2112695356	0.000000	-0.800000	-0.800000	-0.000000	5.000000	0.014382
0	898880149	1543388802	54.000000	-13.000000	41.000000	-54.000000	5.300000	2.297141
0	898880149	2124173176	6.000000	-4.900000	1.100000	-6.000000	6.300000	0.013254
0	898880149	1698966908	35.000000	-17.900000	17.100000	-35.000000	8.200000	4.494534
0	898880149	854026991	3.000000	-3.500000	-0.500000	-3.000000	4.300000	0.020114
0	898880149	335489155	52.000000	-33.200000	18.800000	-52.000000	14.200000	9.202014
0	898880149	964946974	10.000000	-5.200000	4.800000	-10.000000	4.800000	0.014598
0	898880149	311022062	26.000000	-13.800000	12.200000	-26.000000	6.200000	3.235353
0	898880149	1618725598	35.000000	-14.700000	20.300000	-35.000000	7.900000	2.900068
0	898880149	1514164919	18.000000	-5.900000	12.100000	-18.000000	5.200000	0.012823
0	898880149	1955242992	39.000000	-17.700000	21.300000	-39.000000	8.000000	3.003993
0	898880149	1987618627	31.000000	-13.800000	17.200000	-31.000000	6.800000	5.334832
0	898880149	481609893	0.000000	-4.900000	-4.900000	-0.000000	4.500000	0.018332
0	898880149	2060695374	67.000000	-46.800000	20.200000	-67.000000	19.100000	7.649089
0	898880149	154039679	7.000000	-8.400000	-1.400000	-7.000000	5.700000	0.013313
0	898880149	1928705856	41.000000	-10.600000	30.400000	-41.000000	6.700000	2.605195
0	898880149	43680209	11.000000	-4.600000	6.400000	-11.000000	5.200000	0.018655
0	898880149	752515832	40.000000	-11.500000	28.500000	-40.000000	5.900000	2.589732
0	898880149	109771577	10.000000	-5.400000	4.600000	-10.000000	5.400000	0.013539
0	898880149	845313502	52.000000	-34.700000	17.300000	-52.000000	14.400000	9.467368
0	898880149	86195433	2.000000	-5.500000	-3.500000	-2.000000	5.100000	0.012197
0	898880149	343887488	4.000000	-7.200000	-3.200000	-4.000000	8.000000	0.011967
0	898880149	551696319	36.000000	-11.700000	24.300000	-36.000000	5.900000	2.214809
0	898880149	1454573372	35.000000	-10.300000	24.700000	-35.000000	6.400000	2.768084
0	898880149	1981069794	22.000000	-6.000000	16.000000	-22.000000	6.500000	0.011370
0	898880149	2055395801	31.000000	-10.500000	20.500000	-31.000000	7.700000	2.410702
0	898880149	1314564750	9.000000	-5.200000	3.800000	-9.000000	4.600000	0.011089
0	898880149	1211043553	10.000000	-2.600000	7.400000	-10.000000	4.100000	0.012141
0	898880149	858212937	12.000000	-5.000000	7.000000	-12.000000	6.300000	0.008582
0	898880149	1184050436	6.000000	-5.100000	0.900000	-6.000000	5.000000	0.020251
0	898880149	928230183	37.000000	-17.000000	20.000000	-37.000000	9.500000	3.357844
0	732300588	81506606	76.000000	-58.100000	17.900000	-76.000000	26.200000	10.487520
0	732300588	1472674841	80.000000	-60.300000	19.700000	-80.000000	26.600000	9.425901
0	732300588	735121014	76.000000	-62.400000	13.600000	-76.000000	34.900000	12.214630
0	732300588	1476400475	78.000000	-58.000000	20.000000	-78.000000	25.900000	9.513529
0	732300588	1469369347	46.000000	-36.500000	9.500000	-46.000000	17.200000	5.249229
0	732300588	146235270	27.000000	-23.700000	3.300000	-27.000000	12.000000	2.664731
0	732300588	513741431	64.000000	-62.300000	1.700000	-64.000000	26.900000	9.367225
0	732300588	1463059572	65.000000	-47.100000	17.900000	-65.000000	20.900000	7.890172
0	732300588	413532807	76.000000	-59.500000	16.500000	-76.000000	26.900000	10.469971
0	732300588	46915625	65.000000	-47.100000	17.900000	-65.000000	20.900000	7.895206
0	732300588	972001917	66.000000	-45.700000	20.300000	-66.000000	20.700000	9.510755
0	732300588	382639979	76.000000	-66.900000	9.100000	-76.000000	31.000000	9.735508
0	732300588	640122599	46.000000	-29.300000	16.700000	-46.000000	15.500000	4.834901
0	732300588	2121959568	45.000000	-25.000000	20.000000	-45.000000	10.400000	2.456694
0	732300588	2018608084	66.000000	-47.700000	18.300000	-66.000000	21.900000	8.300024
0	732300588	1749692663	50.000000	-29.700000	20.300000	-50.000000	15.500000	5.063185
0	732300588	1770073693	61.000000	-49.400000	11.600000	-61.000000	25.200000	7.918294
0	732300588	743194459	76.000000	-59.500000	16.500000	-76.000000	26.900000	9.328082
0	732300588	1208203644	42.000000	-29.000000	13.000000	-42.000000	16.400000	5.553006
0	732300588	1370521567	65.000000	-41.000000	24.000000	-65.000000	20.300000	7.693080
0	732300588	1639811240	78.000000	-58.700000	19.300000	-78.000000	26.100000	10.138681
0	732300588	1151576386	49.000000	-44.300000	4.700000	-49.000000	21.800000	6.493096
0	732300588	499380401	32.000000	-24.100000	7.900000	-32.000000	10.900000	2.903664
0	732300588	1929303553	63.000000	-47.900000	15.100000	-63.000000	22.200000	11.059775
0	732300588	332734900	48.000000	-48.900000	-0.900000	-48.000000	20.500000	7.045749
0	732300588	576574534	48.000000	-37.100000	10.900000	-48.000000	16.700000	5.695074
0	732300588	2136679685	76.000000	-58.100000	17.900000	-76.000000	26.600000	8.633277
0	732300588	1828687275	25.000000	-17.600000	7.400000	-25.000000	11.800000	2.428203
0	732300588	205783085	65.000000	-48.500000	16.500000	-65.000000	21.700000	8.334837
0	732300588	1451616474	63.000000	-47.900000	15.100000	-63.000000	21.700000	8.489115
0	732300588	1967664460	13.000000	-7.100000	5.900000	-13.000000	5.400000	0.011584
0	732300588	1113499632	67.000000	-46.300000	20.700000	-67.000000	20.800000	10.903038
0	732300588	1448722201	50.000000	-34.300000	15.700000	-50.000000	15.700000	6.306942
0	732300588	1366615149	64.000000	-47.100000	16.900000	-64.000000	20.900000	8.066065
0	732300588	2114559601	29.000000	-23.000000	6.000000	-29.000000	10.500000	2.702749
0	732300588	467856285	53.000000	-38.900000	14.100000	-53.000000	16.100000	4.391946
0	732300588	181761370	20.000000	-7.100000	12.900000	-20.000000	5.500000	0.013665
0	732300588	265706574	47.000000	-37.100000	9.900000	-47.000000	16.700000	5.368931
0	732300588	212334893	44.000000	-30.900000	13.100000	-44.000000	17.500000	5.029374
0	732300588	752126561	76.000000	-59.500000	16.500000	-76.000000	26.900000	9.958899
0	732300588	1484678716	84.000000	-64.400000	19.600000	-84.000000	31.800000	11.664759
0	732300588	808142579	46.000000	-27.000000	19.000000	-46.000000	15.700000	4.913319
0	732300588	1329667461	46.000000	-47.700000	-1.700000	-46.000000	20.600000	5.382238
0	732300588	750407825	30.000000	-23.800000	6.200000	-30.000000	10.900000	2.817364
0	732300588	780826998	63.000000	-47.800000	15.200000	-63.000000	21.600000	7.943033
0	732300588	1870909201	46.000000	-36.400000	9.600000	-46.000000	17.100000	5.417795
0	732300588	1903560489	63.000000	-47.900000	15.100000	-63.000000	22.500000	8.120936
0	732300588	2008439238	80.000000	-60.300000	19.700000	-80.000000	26.600000	9.249893
0	732300588	2042854327	43.000000	-32.700000	10.300000	-43.000000	15.100000	6.536858
0	732300588	1246309693	63.000000	-46.600000	16.400000	-63.000000	21.100000	7.458982
0	1237045712	1726697475	75.000000	-40.100000	34.900000	-75.000000	15.200000	6.410730
0	1237045712	846997175	75.000000	-28.400000	46.600000	-75.000000	10.000000	6.332535
0	1237045712	1611696781	75.000000	-40.100000	34.900000	-75.000000	14.100000	10.424677
0	1237045712	1605436672	53.000000	-31.500000	21.500000	-53.000000	12.400000	5.009446
0	1237045712	1450390032	55.000000	-34.600000	20.400000	-55.000000	14.400000	4.613298
0	1237045712	1250292057	75.000000	-43.000000	32.000000	-75.000000	15.500000	10.706709
0	1237045712	1066396337	30.000000	-16.900000	13.100000	-30.000000	9.700000	2.687888
0	1237045712	2092443990	53.000000	-30.400000	22.600000	-53.000000	10.600000	5.345745
0	1237045712	378577155	75.000000	-41.400000	33.600000	-75.000000	15.400000	7.138746
0	1237045712	1601742934	26.000000	-16.800000	9.200000	-26.000000	9.400000	2.915134
0	1237045712	1777213011	30.000000	-12.400000	17.600000	-30.000000	6.100000	2.763565
0	1237045712	2134418330	52.000000	-53.000000	-1.000000	-52.000000	22.300000	4.861938
0	1237045712	837007293	52.000000	-51.700000	0.300000	-52.000000	20.300000	5.675961
0	1237045712	1857867276	70.000000	-37.700000	32.300000	-70.000000	14.000000	7.050341
0	1237045712	717667593	75.000000	-61.700000	13.300000	-75.000000	24.100000	7.460771
0	1237045712	1946605997	77.000000	-43.300000	33.700000	-77.000000	15.800000	8.284305
0	1237045712	42690395	53.000000	-30.300000	22.700000	-53.000000	12.300000	5.251617
0	1237045712	636076819	77.000000	-35.800000	41.200000	-77.000000	13.000000	6.787250
0	1237045712	1415260162	96.000000	-51.500000	44.500000	-96.000000	17.600000	7.875279
0	1237045712	143957671	30.000000	-11.700000	18.300000	-30.000000	4.700000	2.919280
0	1237045712	71065358	55.000000	-20.400000	34.600000	-55.000000	10.000000	5.683315
